ticker_symbol,date,open_price,close_price,high,low,volume
AAPL,2023-11-01,411.97,402.11,413.62,401.09000000000003,8596458
AAPL,2023-11-02,457.32,456.34,460.04,454.67999999999995,3335267
AAPL,2023-11-03,180.35,178.69,183.31,177.85,8400541
AAPL,2023-11-04,297.25,293.25,298.15,293.14,7627852
AAPL,2023-11-05,360.02,356.43,361.53,355.46,7986484
AAPL,2023-11-06,471.27,467.05,475.53,466.49,7622499
AAPL,2023-11-07,279.18,276.81,282.66,275.47,6388645
AAPL,2023-11-08,164.46,155.43,167.24,153.32,2449065
AAPL,2023-11-09,489.81,499.36,500.01,487.35,9096595
AAPL,2023-11-10,185.14,184.24,185.5,179.48000000000002,4978066
AAPL,2023-11-11,292.95,283.49,294.81,279.74,7027099
AAPL,2023-11-12,405.05,414.24,417.45,401.18,2505833
AAPL,2023-11-13,340.63,344.04,346.42,339.46,9118666
AAPL,2023-11-14,183.47,184.5,185.5,181.0,7566687
AAPL,2023-11-15,121.76,121.75,125.49000000000001,120.3,9746711
AAPL,2023-11-16,135.72,130.67,139.89,126.38999999999999,9068141
AAPL,2023-11-17,289.14,295.35,297.0,286.76,1593646
AAPL,2023-11-18,228.65,234.67,236.54999999999998,225.61,2926093
AAPL,2023-11-19,319.51,318.95,323.4,317.36,3783997
AAPL,2023-11-20,411.61,417.25,417.43,407.16,9579646
AAPL,2023-11-21,138.19,134.89,139.17,130.16,6325921
AAPL,2023-11-22,101.49,92.57,102.53999999999999,89.41,9647964
AAPL,2023-11-23,360.04,356.31,362.70000000000005,351.86,7399941
AAPL,2023-11-24,363.94,369.32,371.09,363.68,2527104
AAPL,2023-11-25,411.0,407.55,415.6,405.05,5928476
AAPL,2023-11-26,416.35,410.56,418.41,410.47,1813473
AAPL,2023-11-27,107.02,106.62,108.86999999999999,105.23,5980489
AAPL,2023-11-28,421.79,420.58,425.57,418.65999999999997,4737435
AAPL,2023-11-29,485.31,487.28,491.0,484.9,3331521
AAPL,2023-11-30,455.76,454.52,459.7,450.29999999999995,3178509
AAPL,2023-12-01,489.0,487.04,491.18,486.23,4484290
AAPL,2023-12-02,303.08,295.8,308.0,295.15000000000003,6736209
AAPL,2023-12-03,417.8,427.74,431.06,414.8,5500384
AAPL,2023-12-04,481.46,488.8,491.38,478.72999999999996,5258606
AAPL,2023-12-05,352.57,359.44,360.99,350.34,9552666
AAPL,2023-12-06,280.66,283.53,287.40999999999997,280.18,3708691
AAPL,2023-12-07,388.45,387.84,392.01,382.96999999999997,6911752
AAPL,2023-12-08,142.32,142.8,146.61,139.69,2626157
AAPL,2023-12-09,373.44,379.35,382.04,370.46999999999997,5461737
AAPL,2023-12-10,225.15,230.71,235.57000000000002,220.26000000000002,1948247
AAPL,2023-12-11,107.4,110.12,112.06,105.28,7906680
AAPL,2023-12-12,255.86,246.79,256.14,243.53,2602761
AAPL,2023-12-13,108.02,112.95,113.75,105.36,5039640
AAPL,2023-12-14,135.99,126.25,138.95000000000002,122.45,9777244
AAPL,2023-12-15,241.14,243.35,245.85999999999999,239.47,5285832
AAPL,2023-12-16,201.51,207.61,211.0,198.60999999999999,6554704
AAPL,2023-12-17,339.86,334.81,341.15000000000003,332.8,8761167
AAPL,2023-12-18,247.58,248.77,251.43,246.49,1197617
AAPL,2023-12-19,270.95,280.16,282.53000000000003,266.71,2153426
AAPL,2023-12-20,193.87,195.73,196.81,189.72,8070110
AAPL,2023-12-21,127.67,130.54,131.7,126.5,4177210
AAPL,2023-12-22,118.06,111.16,119.98,107.16,5137463
AAPL,2023-12-23,202.05,199.52,205.22,195.47,5752032
AAPL,2023-12-24,347.04,347.52,347.76,343.55,1017673
AAPL,2023-12-25,158.86,165.16,169.60999999999999,154.12,7309324
AAPL,2023-12-26,461.7,462.19,466.08,460.55,5248882
AAPL,2023-12-27,456.87,457.42,461.3,452.64,5366446
AAPL,2023-12-28,138.71,134.38,142.88,132.44,8455847
AAPL,2023-12-29,350.48,344.88,350.97,341.14,5596474
AAPL,2023-12-30,323.86,332.98,336.67,319.93,2524820
AAPL,2023-12-31,149.12,151.32,151.63,147.13,5378515
AAPL,2024-01-01,253.3,258.37,261.09000000000003,252.38000000000002,9865884
AAPL,2024-01-02,237.87,235.86,239.88,234.99,9481729
AAPL,2024-01-03,344.24,346.49,350.39,343.53000000000003,3439500
AAPL,2024-01-04,392.53,385.61,395.22999999999996,381.98,5943089
AAPL,2024-01-05,144.85,145.95,147.47,142.18,6208501
AAPL,2024-01-06,246.21,243.19,247.11,238.21,3915642
AAPL,2024-01-07,284.56,276.11,287.44,274.3,3130590
AAPL,2024-01-08,182.95,173.23,183.86999999999998,170.48,5001328
AAPL,2024-01-09,441.94,436.77,446.38,435.06,9090783
AAPL,2024-01-10,222.04,230.11,234.47000000000003,218.25,7559990
AAPL,2024-01-11,406.42,399.59,408.02000000000004,395.73999999999995,4120234
AAPL,2024-01-12,222.21,227.24,229.0,220.97,5602012
AAPL,2024-01-13,354.08,348.14,355.69,347.51,6694401
AAPL,2024-01-14,248.57,257.22,259.46000000000004,245.91,3026526
AAPL,2024-01-15,215.92,224.84,226.24,211.30999999999997,9795286
AAPL,2024-01-16,467.5,476.14,476.19,465.3,4883575
AAPL,2024-01-17,172.73,176.17,178.66,168.20999999999998,8351034
AAPL,2024-01-18,181.61,178.25,186.60000000000002,176.98,9222786
AAPL,2024-01-19,166.15,165.81,166.84,164.36,1591383
AAPL,2024-01-20,187.72,179.19,190.85999999999999,177.55,1517628
AAPL,2024-01-21,228.2,227.4,229.85999999999999,225.45000000000002,1841311
AAPL,2024-01-22,289.22,292.35,292.82000000000005,285.67,1195813
AAPL,2024-01-23,457.54,467.47,468.47,454.20000000000005,8504309
AAPL,2024-01-24,473.52,472.27,477.71,468.84999999999997,7944383
AAPL,2024-01-25,293.01,289.98,294.75,289.15000000000003,7436822
AAPL,2024-01-26,434.97,441.5,445.38,434.85,9034557
AAPL,2024-01-27,425.92,434.58,436.76,421.46000000000004,4720587
AAPL,2024-01-28,459.45,462.74,465.91,456.37,3090333
AAPL,2024-01-29,152.6,159.0,162.11,149.4,1479009
AAPL,2024-01-30,412.41,410.02,416.85,409.77,1280075
AAPL,2024-01-31,320.33,323.73,328.19,317.77,4299917
AAPL,2024-02-01,378.77,376.24,382.84999999999997,376.1,3531069
AAPL,2024-02-02,342.33,340.53,343.84,335.55999999999995,7106471
AAPL,2024-02-03,142.1,135.67,146.2,134.76999999999998,9044178
AAPL,2024-02-04,230.89,226.8,235.64,224.60000000000002,1775734
AAPL,2024-02-05,111.17,107.35,112.57000000000001,103.47,1825863
AAPL,2024-02-06,102.18,95.84,106.97000000000001,95.46000000000001,1564654
AAPL,2024-02-07,415.61,419.16,421.45000000000005,415.03000000000003,7850677
AAPL,2024-02-08,153.92,160.25,162.45,151.41,8371563
AAPL,2024-02-09,241.14,244.58,248.26000000000002,238.07999999999998,2152754
AAPL,2024-02-10,103.5,103.61,106.67999999999999,101.1,6018474
AAPL,2024-02-11,154.66,163.97,167.01,154.23,5446036
AAPL,2024-02-12,423.22,421.67,427.23,420.04,4446916
AAPL,2024-02-13,250.48,248.37,253.36999999999998,246.1,8209383
AAPL,2024-02-14,117.32,122.46,124.97999999999999,112.66999999999999,5525905
AAPL,2024-02-15,106.75,109.28,112.44,105.97,2343882
AAPL,2024-02-16,461.34,458.91,461.52,456.25,7706140
AAPL,2024-02-17,212.85,218.36,222.76000000000002,208.35,9376794
AAPL,2024-02-18,117.34,112.94,119.82000000000001,112.22,9986095
AAPL,2024-02-19,377.32,377.76,380.28999999999996,376.17,6517679
AAPL,2024-02-20,132.4,133.11,135.57000000000002,130.67000000000002,2218250
AAPL,2024-02-21,373.33,366.92,377.69,363.88,6278092
AAPL,2024-02-22,275.61,276.71,277.21,271.27000000000004,4672222
AAPL,2024-02-23,142.73,139.92,146.16,136.66,3386442
AAPL,2024-02-24,329.51,331.71,333.41999999999996,327.78999999999996,1170123
AAPL,2024-02-25,327.29,324.04,329.47,323.72,5496610
AAPL,2024-02-26,373.52,367.94,377.25,363.84,7034195
AAPL,2024-02-27,184.1,186.74,186.77,179.25,6769620
AAPL,2024-02-28,243.9,246.6,247.48999999999998,240.09,3115337
AAPL,2024-02-29,164.86,162.39,167.92000000000002,160.16,7373033
AAPL,2024-03-01,347.41,353.9,356.32,344.43,6254303
AAPL,2024-03-02,225.33,215.98,228.28,214.17999999999998,7042904
AAPL,2024-03-03,262.51,253.41,262.74,250.57,6057232
AAPL,2024-03-04,290.9,289.73,293.34999999999997,289.58000000000004,8479968
AAPL,2024-03-05,176.61,170.6,176.8,165.97,6051547
AAPL,2024-03-06,415.78,410.07,419.60999999999996,405.34,4786111
AAPL,2024-03-07,427.84,419.75,429.07,417.18,5204554
AAPL,2024-03-08,394.58,398.85,402.67,392.83,2859134
AAPL,2024-03-09,380.98,374.2,382.61,371.81,3648233
AAPL,2024-03-10,241.11,246.88,247.94,239.82000000000002,8901340
AAPL,2024-03-11,330.23,323.69,330.71000000000004,321.06,6055621
AAPL,2024-03-12,107.69,98.88,109.32,97.41,3213885
AAPL,2024-03-13,343.7,341.78,345.76,341.51,4906468
AAPL,2024-03-14,172.66,168.64,176.5,166.97,1069018
AAPL,2024-03-15,328.22,337.96,342.34,325.3,1348634
AAPL,2024-03-16,269.17,277.49,279.05,264.89000000000004,4655592
AAPL,2024-03-17,284.5,293.79,296.09000000000003,280.8,5577084
AAPL,2024-03-18,346.04,348.0,352.44,345.85,2493687
AAPL,2024-03-19,144.65,151.37,155.69,144.35,2230121
AAPL,2024-03-20,154.77,145.39,155.05,141.42,6348832
AAPL,2024-03-21,128.47,126.35,132.01,125.6,5776182
AAPL,2024-03-22,492.39,490.43,493.49,488.42,4130031
AAPL,2024-03-23,208.73,204.72,211.7,203.29,5116920
AAPL,2024-03-24,212.15,203.17,215.25,198.91,7016651
AAPL,2024-03-25,227.83,218.82,232.43,216.16,7007162
AAPL,2024-03-26,281.76,276.16,283.44,271.66,5953398
AAPL,2024-03-27,122.98,118.35,124.41000000000001,116.86999999999999,6059465
AAPL,2024-03-28,385.77,392.99,397.83,382.14,9654756
AAPL,2024-03-29,292.02,291.92,292.47999999999996,287.26,9717049
AAPL,2024-03-30,275.12,276.2,278.78999999999996,270.7,7576039
AAPL,2024-03-31,466.55,462.72,468.93,460.89000000000004,7669554
AAPL,2024-04-01,245.83,253.27,257.7,242.43,3264897
AAPL,2024-04-02,239.16,238.36,244.14,236.62,3863054
AAPL,2024-04-03,190.82,192.9,197.05,189.79999999999998,1642926
AAPL,2024-04-04,420.41,428.33,428.93,418.16,4703911
AAPL,2024-04-05,383.67,387.61,389.98,381.74,7174777
AAPL,2024-04-06,428.45,425.29,428.89,420.38,3021661
AAPL,2024-04-07,240.33,234.82,243.05,232.73,9208840
AAPL,2024-04-08,154.29,157.33,158.73000000000002,152.79999999999998,9312740
AAPL,2024-04-09,297.1,303.75,303.92,296.20000000000005,8005504
